ordinal,profile,channel,arrival_cycle,tensor_input_output_bytes,measured_compute_cycles,transfer_cycles,service_start_cycle,completion_cycle,queue_cycles,service_cycles
208,dit_norm3,0,1040000,251904,4856,3936,1040000,1044856,0,4856
209,dit_norm3,1,1045000,251904,4856,3936,1045000,1049856,0,4856
210,dit_norm3,2,1050000,251904,4856,3936,1050000,1054856,0,4856
211,dit_norm3,3,1055000,251904,4856,3936,1055000,1059856,0,4856
212,dit_norm3,4,1060000,251904,4856,3936,1060000,1064856,0,4856
213,dit_norm3,5,1065000,251904,4856,3936,1065000,1069856,0,4856
214,dit_norm3,6,1070000,251904,4856,3936,1070000,1074856,0,4856
215,dit_norm3,7,1075000,251904,4856,3936,1075000,1079856,0,4856
216,dit_norm3,0,1080000,251904,4856,3936,1080000,1084856,0,4856
217,dit_norm3,1,1085000,251904,4856,3936,1085000,1089856,0,4856
218,dit_norm3,2,1090000,251904,4856,3936,1090000,1094856,0,4856
219,dit_norm3,3,1095000,251904,4856,3936,1095000,1099856,0,4856
220,dit_norm3,4,1100000,251904,4856,3936,1100000,1104856,0,4856
221,dit_norm3,5,1105000,251904,4856,3936,1105000,1109856,0,4856
222,dit_norm3,6,1110000,251904,4856,3936,1110000,1114856,0,4856
223,dit_norm3,7,1115000,251904,4856,3936,1115000,1119856,0,4856
224,dit_norm3,0,1120000,251904,4856,3936,1120000,1124856,0,4856
225,dit_norm3,1,1125000,251904,4856,3936,1125000,1129856,0,4856
226,dit_norm3,2,1130000,251904,4856,3936,1130000,1134856,0,4856
227,dit_norm3,3,1135000,251904,4856,3936,1135000,1139856,0,4856
228,dit_norm3,4,1140000,251904,4856,3936,1140000,1144856,0,4856
229,dit_norm3,5,1145000,251904,4856,3936,1145000,1149856,0,4856
230,dit_norm3,6,1150000,251904,4856,3936,1150000,1154856,0,4856
231,dit_norm3,7,1155000,251904,4856,3936,1155000,1159856,0,4856
232,dit_norm3,0,1160000,251904,4856,3936,1160000,1164856,0,4856
233,dit_norm3,1,1165000,251904,4856,3936,1165000,1169856,0,4856
234,dit_norm3,2,1170000,251904,4856,3936,1170000,1174856,0,4856
235,dit_norm3,3,1175000,251904,4856,3936,1175000,1179856,0,4856
236,dit_norm3,4,1180000,251904,4856,3936,1180000,1184856,0,4856
237,dit_norm3,5,1185000,251904,4856,3936,1185000,1189856,0,4856
238,dit_norm3,6,1190000,251904,4856,3936,1190000,1194856,0,4856
239,dit_norm3,7,1195000,251904,4856,3936,1195000,1199856,0,4856
240,dit_norm3,0,1200000,251904,4856,3936,1200000,1204856,0,4856
241,dit_norm3,1,1205000,251904,4856,3936,1205000,1209856,0,4856
242,dit_norm3,2,1210000,251904,4856,3936,1210000,1214856,0,4856
243,dit_norm3,3,1215000,251904,4856,3936,1215000,1219856,0,4856
244,dit_norm3,4,1220000,251904,4856,3936,1220000,1224856,0,4856
245,dit_norm3,5,1225000,251904,4856,3936,1225000,1229856,0,4856
246,dit_norm3,6,1230000,251904,4856,3936,1230000,1234856,0,4856
247,dit_norm3,7,1235000,251904,4856,3936,1235000,1239856,0,4856
248,dit_norm3,0,1240000,251904,4856,3936,1240000,1244856,0,4856
249,dit_norm3,1,1245000,251904,4856,3936,1245000,1249856,0,4856
250,dit_norm3,2,1250000,251904,4856,3936,1250000,1254856,0,4856
251,dit_norm3,3,1255000,251904,4856,3936,1255000,1259856,0,4856
252,dit_norm3,4,1260000,251904,4856,3936,1260000,1264856,0,4856
253,dit_norm3,5,1265000,251904,4856,3936,1265000,1269856,0,4856
254,dit_norm3,6,1270000,251904,4856,3936,1270000,1274856,0,4856
255,dit_norm3,7,1275000,251904,4856,3936,1275000,1279856,0,4856
256,dit_norm3,0,1280000,251904,4856,3936,1280000,1284856,0,4856
257,dit_norm3,1,1285000,251904,4856,3936,1285000,1289856,0,4856
258,dit_norm3,2,1290000,251904,4856,3936,1290000,1294856,0,4856
259,dit_norm3,3,1295000,251904,4856,3936,1295000,1299856,0,4856
260,dit_norm3,4,1300000,251904,4856,3936,1300000,1304856,0,4856
261,dit_norm3,5,1305000,251904,4856,3936,1305000,1309856,0,4856
262,dit_norm3,6,1310000,251904,4856,3936,1310000,1314856,0,4856
263,dit_norm3,7,1315000,251904,4856,3936,1315000,1319856,0,4856
264,dit_norm3,0,1320000,251904,4856,3936,1320000,1324856,0,4856
265,dit_norm_out,1,1325000,251904,4856,3936,1325000,1329856,0,4856
266,dit_norm_out,2,1330000,251904,4856,3936,1330000,1334856,0,4856
267,dit_norm_out,3,1335000,251904,4856,3936,1335000,1339856,0,4856
268,dit_norm_out,4,1340000,251904,4856,3936,1340000,1344856,0,4856
269,qwen_input_post_attention,5,1345000,2293760,9735,35840,1345000,1380840,0,35840
