x_mm,y_mm,wins,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_rank,top_k,top_k_rate,balanced_rank
-2.5,-5.0,0,0.0,0.0,0.003826898586390522,266.518,5,0.0,261
1.5,-4.5,0,0.0,0.0,0.003826898586390522,272.432,5,0.0,274
-1.5,-4.5,0,0.0,0.0,0.003826898586390522,273.432,5,0.0,275
2.0,-5.0,0,0.0,0.0,0.003826898586390522,273.888,5,0.0,270
-1.5,4.5,0,0.0,0.0,0.003826898586390522,274.654,5,0.0,276
-2.0,5.0,0,0.0,0.0,0.003826898586390522,275.126,5,0.0,271
1.5,4.5,0,0.0,0.0,0.003826898586390522,275.21,5,0.0,277
-2.0,-5.0,0,0.0,0.0,0.003826898586390522,275.784,5,0.0,273
2.0,5.0,0,0.0,0.0,0.003826898586390522,276.754,5,0.0,272
1.0,-4.0,0,0.0,0.0,0.003826898586390522,280.29,5,0.0,283
-1.0,-4.0,0,0.0,0.0,0.003826898586390522,281.122,5,0.0,282
-1.0,4.0,0,0.0,0.0,0.003826898586390522,282.231,5,0.0,284
1.0,4.0,0,0.0,0.0,0.003826898586390522,283.181,5,0.0,285
1.5,-5.0,0,0.0,0.0,0.003826898586390522,284.334,5,0.0,278
0.5,-4.0,0,0.0,0.0,0.003826898586390522,285.208,5,0.0,290
-1.5,-5.0,0,0.0,0.0,0.003826898586390522,285.407,5,0.0,279
-0.5,-4.0,0,0.0,0.0,0.003826898586390522,285.976,5,0.0,291
-1.5,5.0,0,0.0,0.0,0.003826898586390522,286.261,5,0.0,280
1.5,5.0,0,0.0,0.0,0.003826898586390522,287.334,5,0.0,281
0.5,4.0,0,0.0,0.0,0.003826898586390522,287.412,5,0.0,292
-0.5,4.0,0,0.0,0.0,0.003826898586390522,287.772,5,0.0,293
1.0,-4.5,0,0.0,0.0,0.003826898586390522,289.652,5,0.0,294
-1.0,-4.5,0,0.0,0.0,0.003826898586390522,290.644,5,0.0,295
1.0,4.5,0,0.0,0.0,0.003826898586390522,291.797,5,0.0,296
2.5,-5.5,0,0.0,0.0,0.003826898586390522,292.022,5,0.0,286
-1.0,4.5,0,0.0,0.0,0.003826898586390522,292.499,5,0.0,297
-2.5,5.5,0,0.0,0.0,0.003826898586390522,293.022,5,0.0,287
