OpenROAD 26Q3-1080-gab6fd26351 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
LOGIC_DIE_LEAF_CELLS=13176
   Internal  Switching    Leakage      Total
      Power      Power      Power      Power (Watts)
--------------------------------------------
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[59\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[60\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[63\]\[30\]$_DFFE_PP_
   4.54e-06   2.23e-23   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[9\]\[29\]$_DFFE_PP_
   4.54e-06   4.08e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[124\]$_DFFE_PP_
   4.54e-06   1.98e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[116\]$_DFFE_PP_
   4.54e-06   1.22e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[31\]$_DFFE_PP_
   4.54e-06   1.29e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[60\]$_DFFE_PP_
   4.54e-06   1.18e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[49\]$_DFFE_PP_
   4.54e-06   5.66e-10   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[73\]$_DFFE_PP_
   4.54e-06   1.50e-09   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[1\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[53\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[18\]\[29\]$_DFFE_PP_
   4.54e-06   1.80e-15   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[4\]\[29\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[11\]\[29\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[13\]\[29\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[53\]\[29\]$_DFFE_PP_
   4.54e-06   3.18e-15   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.expected_q\[5\]$_DFFE_PP_
   4.54e-06   8.05e-10   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[25\]$_DFFE_PP_
   4.54e-06   1.03e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[26\]$_DFFE_PP_
   4.54e-06   3.83e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[127\]$_DFFE_PP_
   4.54e-06   5.09e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[0\]\[4\]$_DFFE_PP_
   4.54e-06   4.77e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[0\]\[15\]$_DFFE_PP_
   4.54e-06   4.17e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[0\]\[4\]$_DFFE_PP_
   4.54e-06   9.00e-12   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[3\]\[27\]$_DFFE_PP_
   4.54e-06   1.15e-11   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[3\]\[13\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[31\]\[1\]$_DFFE_PP_
   4.54e-06   1.01e-11   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[3\]\[22\]$_DFFE_PP_
   4.54e-06   1.02e-11   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[3\]\[5\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[89\]\[9\]$_DFFE_PP_
   4.54e-06   2.50e-23   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[9\]\[0\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[75\]\[0\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[89\]\[0\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[127\]\[25\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[89\]\[25\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[31\]\[2\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[31\]\[19\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[89\]\[22\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[127\]\[11\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[31\]\[12\]$_DFFE_PP_
   4.54e-06   4.29e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[0\]\[2\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[108\]\[24\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[108\]\[22\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[108\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   9.46e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[108\]\[23\]$_DFFE_PP_
   4.54e-06   7.77e-10   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[71\]$_DFFE_PP_
   4.54e-06   8.23e-10   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[66\]$_DFFE_PP_
   4.54e-06   1.48e-09   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[1\]\[2\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[123\]\[15\]$_DFFE_PP_
   4.54e-06   3.29e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[0\]\[31\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[123\]\[2\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[123\]\[3\]$_DFFE_PP_
   4.54e-06   1.03e-09   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[1\]\[4\]$_DFFE_PP_
